MealName,Carbohydrates,Proteins,Fat
Extra Lean Ground Turkey,20.0,0.0,3.5
Free Run Egg,11.3,1.9,9.4
Liquid Egg Whites,11.1,0.0,0.0
Flaked White Tuna in H20,26.7,0.0,1.7
Cod,18.3,0.0,0.7
Salmon (fresh),21.4,0.0,8.6
Rainbow Trout,23.0,0.0,6.0
Haddock,24.3,0.0,0.9
Halibut,20.8,0.0,2.3
Greek Yogourt,11.4,3.4,0.2
Tilapia,18.8,0.0,0.9
Cottage Cheese (Low Sodium),19.2,2.4,0.4
Cottage Cheese (1% Milk Low Fat),12.4,2.7,1.1
Chicken Breast,26.0,0.0,4.0
Lamb,20.0,0.0,8.0
Zipperback Tiger Shrimp,17.7,0.0,1.2
Pork Loin Centre Chops Bnls,21.0,0.1,3.8
Turkey Breast Deli Meat,20.7,1.7,0.9
Top Sirloin,27.8,0.0,15.4
Round Steak,36.1,0.0,4.9
Flank Steak,24.6,0.0,10.6
Lean Ground Beef,26.9,0.0,17.4
Rib Eye Steak,28.8,0.0,9.1
Isopure Zero Carb,82.0,0.0,1.6
Genuine Heath Whey Protein Isolate (Natural Vanilla),80.6,5.8,0.6
BIO X Power Whey Isolate,82.9,8.6,2.9
BSN Syntha 6 (Choc Mint),50.0,31.0,13.2
Myoplex,42.0,24.0,2.0
RIVALUS Promasil Protein Powder,80.0,0.0,4.0
Prograde Whey Protein Powder,76.2,6.3,3.2
Kaizen 100% Whey Protein Isolate,87.5,2.5,0.8
EAS 100% Whey Protein,76.7,6.7,6.7
Pro-Nos Whey Protein,56.0,22.7,13.3
NO Shotgun,95.0,0.0,0.0
NO Synthesize,100.0,0.0,0.0
CNP ProDessert,64.1,10.3,5.1
ON Oats & Whey,46.2,42.3,2.9
ON Gold Standard 100% Casein,75.0,9.4,3.1
ON Platinum Hydrowhey Protein,76.9,5.1,2.6
Marble Chedder Cheese,24.2,0.0,27.3
Italiano Cheese,30.0,3.3,20.0
Parmesan Cheese (100% grated),36.7,3.3,30.0
Medium Light Chedder Cheese,27.7,0.0,20.0
Kraft Philadelphia 95% fat free Cream Cheese,13.3,6.7,3.3
Ricotta Cheese (Light),11.4,2.9,5.7
Plain Yogourt,7.4,4.6,0.1
Frozen Edamame,11.8,3.5,7.1
Dextrose,0.0,100.0,0.0
Potato Flour,8.8,79.4,1.5
Whole Wheat Flour,12.9,71.0,1.0
Brown Rice Cakes,5.4,86.5,0.0
12 Grain Cereal,14.0,68.0,6.0
Bran Flakes,10.0,80.0,1.7
Oat Bran,16.7,66.7,8.3
Quick Oats,12.5,67.5,6.3
Whole Grain Steel Cut Oats,12.5,72.5,5.0
Long Grain Brown Rice,6.1,77.6,3.1
Whole Grain Bulgur,12.5,75.0,1.3
Wheat Germ,25.0,50.0,9.4
Mini Rice Cakes,11.1,77.8,4.4
White Orzo,12.9,74.1,1.2
Basmati White Rice,8.9,82.2,0.0
Medium Grain Sticky Rice,7.4,79.6,1.9
Barley,12.5,73.5,2.3
Jasmine Rice,6.7,77.8,0.0
Chick Peas,7.0,15.0,2.0
Sweet Potato,1.5,25.4,0.0
Whole Grain Quinoa,15.2,65.2,5.4
Whole Wheat Pita Bread,12.0,58.0,1.0
Black Beans,4.8,13.6,0.4
White Kidney Beans,10.7,14.4,0.4
Fava Beans,7.2,13.6,0.4
Whole Grain Spaghetti,12.0,72.0,2.0
Whole Grain Penne Rigate,12.0,72.0,2.0
Whole Wheat Bows Pasta,14.1,72.9,1.8
Whole Wheat Flax Tortilla,7.8,45.3,10.9
Nature’s Path Hemp Plus Granola,10.9,65.5,18.2
Manicotti Pasta,12.3,75.4,0.9
Whole Wheat Bread,9.5,46.0,4.0
Apple Sauce (Unsweetened),0.2,12.0,0.0
Bread Crumbs (Gluten Free),10.0,83.3,0.0
